// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56
// command took 1.56s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56
// command took 2.91s and exited with 0
// ***** Done, took 00:00:04 (4.63 sec)   *****
// Found 2 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ed488aea-bfaa-4bf1-aa38-4d062833db56.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\ed488aea-bfaa-4bf1-aa38-4d062833db56\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 309900.00 ns, 309.9000 us/op
WorkloadJitting  1: 1 op, 5214200.00 ns, 5.2142 ms/op

OverheadJitting  2: 16 op, 429500.00 ns, 26.8438 us/op
WorkloadJitting  2: 16 op, 2574400.00 ns, 160.9000 us/op

WorkloadPilot    1: 16 op, 1638700.00 ns, 102.4188 us/op
WorkloadPilot    2: 32 op, 3942200.00 ns, 123.1938 us/op
WorkloadPilot    3: 64 op, 9115300.00 ns, 142.4266 us/op
WorkloadPilot    4: 128 op, 18823300.00 ns, 147.0570 us/op
WorkloadPilot    5: 256 op, 31575100.00 ns, 123.3402 us/op
WorkloadPilot    6: 512 op, 61994400.00 ns, 121.0828 us/op
WorkloadPilot    7: 1024 op, 107318400.00 ns, 104.8031 us/op
WorkloadPilot    8: 2048 op, 205129200.00 ns, 100.1607 us/op
WorkloadPilot    9: 4096 op, 408802500.00 ns, 99.8053 us/op
WorkloadPilot   10: 8192 op, 805330100.00 ns, 98.3069 us/op

OverheadWarmup   1: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadWarmup   2: 8192 op, 13400.00 ns, 1.6357 ns/op
OverheadWarmup   3: 8192 op, 12900.00 ns, 1.5747 ns/op
OverheadWarmup   4: 8192 op, 12800.00 ns, 1.5625 ns/op
OverheadWarmup   5: 8192 op, 13100.00 ns, 1.5991 ns/op
OverheadWarmup   6: 8192 op, 12700.00 ns, 1.5503 ns/op
OverheadWarmup   7: 8192 op, 12800.00 ns, 1.5625 ns/op
OverheadWarmup   8: 8192 op, 12700.00 ns, 1.5503 ns/op

OverheadActual   1: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   2: 8192 op, 14500.00 ns, 1.7700 ns/op
OverheadActual   3: 8192 op, 30400.00 ns, 3.7109 ns/op
OverheadActual   4: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual   5: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   6: 8192 op, 14000.00 ns, 1.7090 ns/op
OverheadActual   7: 8192 op, 14100.00 ns, 1.7212 ns/op
OverheadActual   8: 8192 op, 39800.00 ns, 4.8584 ns/op
OverheadActual   9: 8192 op, 34900.00 ns, 4.2603 ns/op
OverheadActual  10: 8192 op, 45400.00 ns, 5.5420 ns/op
OverheadActual  11: 8192 op, 14300.00 ns, 1.7456 ns/op
OverheadActual  12: 8192 op, 13800.00 ns, 1.6846 ns/op
OverheadActual  13: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual  14: 8192 op, 13800.00 ns, 1.6846 ns/op
OverheadActual  15: 8192 op, 13800.00 ns, 1.6846 ns/op
OverheadActual  16: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual  17: 8192 op, 13800.00 ns, 1.6846 ns/op

WorkloadWarmup   1: 8192 op, 858706800.00 ns, 104.8226 us/op
WorkloadWarmup   2: 8192 op, 812056000.00 ns, 99.1279 us/op
WorkloadWarmup   3: 8192 op, 819047000.00 ns, 99.9813 us/op
WorkloadWarmup   4: 8192 op, 839547400.00 ns, 102.4838 us/op
WorkloadWarmup   5: 8192 op, 810320800.00 ns, 98.9161 us/op
WorkloadWarmup   6: 8192 op, 814835900.00 ns, 99.4673 us/op
WorkloadWarmup   7: 8192 op, 810318400.00 ns, 98.9158 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 817247200.00 ns, 99.7616 us/op
WorkloadActual   2: 8192 op, 838385100.00 ns, 102.3419 us/op
WorkloadActual   3: 8192 op, 832315900.00 ns, 101.6011 us/op
WorkloadActual   4: 8192 op, 836070300.00 ns, 102.0594 us/op
WorkloadActual   5: 8192 op, 841223200.00 ns, 102.6884 us/op
WorkloadActual   6: 8192 op, 810079600.00 ns, 98.8867 us/op
WorkloadActual   7: 8192 op, 846210700.00 ns, 103.2972 us/op
WorkloadActual   8: 8192 op, 818893300.00 ns, 99.9626 us/op
WorkloadActual   9: 8192 op, 809292200.00 ns, 98.7906 us/op
WorkloadActual  10: 8192 op, 840528100.00 ns, 102.6035 us/op
WorkloadActual  11: 8192 op, 834682300.00 ns, 101.8899 us/op
