// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 1.69s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 3.39s and exited with 0
// ***** Done, took 00:00:05 (5.24 sec)   *****
// Found 8 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]
//   Runner.TestClass: DefaultJob [N=1000]
//   Runner.TestStructAndInterface: DefaultJob [N=1000]
//   Runner.TestStruct: DefaultJob [N=10000]
//   Runner.TestStructObject: DefaultJob [N=10000]
//   Runner.TestClass: DefaultJob [N=10000]
//   Runner.TestStructAndInterface: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 492100.00 ns, 492.1000 us/op
WorkloadJitting  1: 1 op, 5989200.00 ns, 5.9892 ms/op

OverheadJitting  2: 16 op, 550900.00 ns, 34.4313 us/op
WorkloadJitting  2: 16 op, 6839900.00 ns, 427.4938 us/op

WorkloadPilot    1: 16 op, 8574300.00 ns, 535.8938 us/op
WorkloadPilot    2: 32 op, 14989800.00 ns, 468.4313 us/op
WorkloadPilot    3: 64 op, 29164700.00 ns, 455.6984 us/op
WorkloadPilot    4: 128 op, 45168200.00 ns, 352.8766 us/op
WorkloadPilot    5: 256 op, 91495800.00 ns, 357.4055 us/op
WorkloadPilot    6: 512 op, 172025700.00 ns, 335.9877 us/op
WorkloadPilot    7: 1024 op, 332973800.00 ns, 325.1697 us/op
WorkloadPilot    8: 2048 op, 660511900.00 ns, 322.5156 us/op

OverheadWarmup   1: 2048 op, 4900.00 ns, 2.3926 ns/op
OverheadWarmup   2: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   3: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   4: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadWarmup   5: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   6: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   7: 2048 op, 3500.00 ns, 1.7090 ns/op
OverheadWarmup   8: 2048 op, 3800.00 ns, 1.8555 ns/op

OverheadActual   1: 2048 op, 4200.00 ns, 2.0508 ns/op
OverheadActual   2: 2048 op, 6400.00 ns, 3.1250 ns/op
OverheadActual   3: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual   4: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   5: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadActual   6: 2048 op, 17100.00 ns, 8.3496 ns/op
OverheadActual   7: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   8: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   9: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual  10: 2048 op, 24200.00 ns, 11.8164 ns/op
OverheadActual  11: 2048 op, 4200.00 ns, 2.0508 ns/op
OverheadActual  12: 2048 op, 4800.00 ns, 2.3438 ns/op
OverheadActual  13: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  14: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadActual  15: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadActual  16: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadActual  17: 2048 op, 20200.00 ns, 9.8633 ns/op
OverheadActual  18: 2048 op, 6700.00 ns, 3.2715 ns/op
OverheadActual  19: 2048 op, 4200.00 ns, 2.0508 ns/op
OverheadActual  20: 2048 op, 3900.00 ns, 1.9043 ns/op

WorkloadWarmup   1: 2048 op, 731868500.00 ns, 357.3577 us/op
WorkloadWarmup   2: 2048 op, 845300600.00 ns, 412.7444 us/op
WorkloadWarmup   3: 2048 op, 782914400.00 ns, 382.2824 us/op
WorkloadWarmup   4: 2048 op, 758752500.00 ns, 370.4846 us/op
WorkloadWarmup   5: 2048 op, 720977500.00 ns, 352.0398 us/op
WorkloadWarmup   6: 2048 op, 707111500.00 ns, 345.2693 us/op
WorkloadWarmup   7: 2048 op, 688496900.00 ns, 336.1801 us/op
WorkloadWarmup   8: 2048 op, 651477200.00 ns, 318.1041 us/op
WorkloadWarmup   9: 2048 op, 620783900.00 ns, 303.1171 us/op
WorkloadWarmup  10: 2048 op, 592091400.00 ns, 289.1071 us/op
WorkloadWarmup  11: 2048 op, 608350900.00 ns, 297.0463 us/op
WorkloadWarmup  12: 2048 op, 600439400.00 ns, 293.1833 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 595599400.00 ns, 290.8200 us/op
WorkloadActual   2: 2048 op, 616622300.00 ns, 301.0851 us/op
WorkloadActual   3: 2048 op, 593201600.00 ns, 289.6492 us/op
WorkloadActual   4: 2048 op, 619402400.00 ns, 302.4426 us/op
WorkloadActual   5: 2048 op, 613511700.00 ns, 299.5663 us/op
WorkloadActual   6: 2048 op, 616664200.00 ns, 301.1056 us/op
WorkloadActual   7: 2048 op, 616183300.00 ns, 300.8708 us/op
WorkloadActual   8: 2048 op, 594205200.00 ns, 290.1393 us/op
WorkloadActual   9: 2048 op, 598512200.00 ns, 292.2423 us/op
WorkloadActual  10: 2048 op, 601023800.00 ns, 293.4687 us/op
WorkloadActual  11: 2048 op, 609662400.00 ns, 297.6867 us/op
WorkloadActual  12: 2048 op, 600028400.00 ns, 292.9826 us/op
WorkloadActual  13: 2048 op, 592026300.00 ns, 289.0753 us/op
WorkloadActual  14: 2048 op, 616692800.00 ns, 301.1195 us/op
WorkloadActual  15: 2048 op, 599997400.00 ns, 292.9675 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 595595200.00 ns, 290.8180 us/op
WorkloadResult   2: 2048 op, 616618100.00 ns, 301.0831 us/op
WorkloadResult   3: 2048 op, 593197400.00 ns, 289.6472 us/op
WorkloadResult   4: 2048 op, 619398200.00 ns, 302.4405 us/op
WorkloadResult   5: 2048 op, 613507500.00 ns, 299.5642 us/op
WorkloadResult   6: 2048 op, 616660000.00 ns, 301.1035 us/op
WorkloadResult   7: 2048 op, 616179100.00 ns, 300.8687 us/op
WorkloadResult   8: 2048 op, 594201000.00 ns, 290.1372 us/op
WorkloadResult   9: 2048 op, 598508000.00 ns, 292.2402 us/op
WorkloadResult  10: 2048 op, 601019600.00 ns, 293.4666 us/op
WorkloadResult  11: 2048 op, 609658200.00 ns, 297.6847 us/op
WorkloadResult  12: 2048 op, 600024200.00 ns, 292.9806 us/op
WorkloadResult  13: 2048 op, 592022100.00 ns, 289.0733 us/op
WorkloadResult  14: 2048 op, 616688600.00 ns, 301.1175 us/op
WorkloadResult  15: 2048 op, 599993200.00 ns, 292.9654 us/op
GC:  215 215 215 923222016 2048

// AfterAll

Mean = 295.6794 us, StdErr = 1.2830 us (0.43%); N = 15, StdDev = 4.9692 us
Min = 289.0733 us, Q1 = 290.8180 us, Median = 293.4666 us, Q3 = 301.0831 us, Max = 302.4405 us
IQR = 10.2651 us, LowerFence = 275.4203 us, UpperFence = 316.4807 us
ConfidenceInterval = [290.3670 us; 300.9917 us] (CI 99.9%), Margin = 5.3124 us (1.80% of Mean)
Skewness = 0.06, Kurtosis = 1.16, MValue = 2

// **************************
// Benchmark: Runner.TestStructObject: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStructObject(N: 1000)" --job "Default" --benchmarkId 1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 320000.00 ns, 320.0000 us/op
WorkloadJitting  1: 1 op, 1612400.00 ns, 1.6124 ms/op

OverheadJitting  2: 16 op, 337000.00 ns, 21.0625 us/op
WorkloadJitting  2: 16 op, 4539300.00 ns, 283.7063 us/op

WorkloadPilot    1: 16 op, 4550600.00 ns, 284.4125 us/op
WorkloadPilot    2: 32 op, 11825000.00 ns, 369.5313 us/op
WorkloadPilot    3: 64 op, 15733100.00 ns, 245.8297 us/op
WorkloadPilot    4: 128 op, 37457300.00 ns, 292.6352 us/op
WorkloadPilot    5: 256 op, 61274300.00 ns, 239.3527 us/op
WorkloadPilot    6: 512 op, 111672500.00 ns, 218.1104 us/op
WorkloadPilot    7: 1024 op, 211709900.00 ns, 206.7479 us/op
WorkloadPilot    8: 2048 op, 427247900.00 ns, 208.6171 us/op
WorkloadPilot    9: 4096 op, 860669400.00 ns, 210.1244 us/op

OverheadWarmup   1: 4096 op, 8500.00 ns, 2.0752 ns/op
OverheadWarmup   2: 4096 op, 7300.00 ns, 1.7822 ns/op
OverheadWarmup   3: 4096 op, 7000.00 ns, 1.7090 ns/op
OverheadWarmup   4: 4096 op, 7200.00 ns, 1.7578 ns/op
OverheadWarmup   5: 4096 op, 7400.00 ns, 1.8066 ns/op
